Measurement results,,,,,,
200922 384 plate 2.skax,,,,,,
20-Sep-22 12:28:28 PM,,,,,,
 ,,,,,,
Absorbance 2,,,,,,
,,,,,,
 ,,,,,,
Plate 1,,,,,,
 ,,,,,,
Well,Group,Type,Sample,Wavelength [Ex],Abs,Time [s]
A01,Group 1,Standard,CAL10001,450,2.7665,9.46
A01,Group 1,Standard,CAL10001,620,0.0638,9.84
A02,Group 1,Unknown,Un001,450,1.1706,10.39
A02,Group 1,Unknown,Un001,620,0.0607,10.77
A03,Group 1,Unknown,Un001,450,1.1622,11.33
A03,Group 1,Unknown,Un001,620,0.0533,11.71
A04,Group 1,Unknown,Un002,450,2.0163,12.26
A04,Group 1,Unknown,Un002,620,0.0671,12.64
A05,Group 1,Unknown,Un002,450,1.8416,13.19
A05,Group 1,Unknown,Un002,620,0.0543,13.57
A06,Group 1,Unknown,Un003,450,0.3146,14.13
A06,Group 1,Unknown,Un003,620,0.0517,14.51
A07,Group 1,Unknown,Un003,450,0.2731,15.06
A07,Group 1,Unknown,Un003,620,0.0452,15.44
A08,Group 1,Unknown,Un004,450,0.3456,15.99
A08,Group 1,Unknown,Un004,620,0.0540,16.37
A09,Group 1,Unknown,Un004,450,0.3199,16.93
A09,Group 1,Unknown,Un004,620,0.0443,17.31
A10,Group 1,Unknown,Un005,450,2.8182,17.86
A10,Group 1,Unknown,Un005,620,0.0642,18.24
A11,Group 1,Unknown,Un005,450,2.7493,18.79
A11,Group 1,Unknown,Un005,620,0.0658,19.17
A12,Group 1,Unknown,Un006,450,0.0700,19.73
A12,Group 1,Unknown,Un006,620,0.0477,20.11
A13,Group 1,Unknown,Un006,450,0.0694,20.66
A13,Group 1,Unknown,Un006,620,0.0497,21.04
A14,Group 1,Unknown,Un007,450,0.6818,21.59
A14,Group 1,Unknown,Un007,620,0.0447,21.97
A15,Group 1,Unknown,Un007,450,0.6414,22.53
A15,Group 1,Unknown,Un007,620,0.0458,22.91
A16,Group 1,Unknown,Un008,450,2.9010,23.46
A16,Group 1,Unknown,Un008,620,0.0926,23.84
A17,Group 1,Unknown,Un008,450,2.8705,24.39
A17,Group 1,Unknown,Un008,620,0.0833,24.77
A18,Group 1,Unknown,Un009,450,0.1327,25.33
A18,Group 1,Unknown,Un009,620,0.0468,25.71
A19,Group 1,Unknown,Un009,450,0.1126,26.26
A19,Group 1,Unknown,Un009,620,0.0412,26.64
A20,Group 1,Unknown,Un010,450,2.9142,27.19
A20,Group 1,Unknown,Un010,620,0.0761,27.57
A21,Group 1,Unknown,Un010,450,2.8891,28.13
A21,Group 1,Unknown,Un010,620,0.0997,28.50
A22,Group 1,Unknown,Un011,450,1.7391,29.06
A22,Group 1,Unknown,Un011,620,0.0549,29.44
A23,Group 1,Unknown,Un011,450,1.6662,29.99
