Measurement results,,,,,,
210922 384 plate 3.skax,,,,,,
21-Sep-22 12:47:14 PM,,,,,,
 ,,,,,,
Absorbance 1,,,,,,
Wavelength: 450 nm,,,,,,
 ,,,,,,
Plate 1,,,,,,
 ,,,,,,
Well,Group,Type,Sample,Wavelength [Ex],Abs,Time [s]
A01,Group 1,Standard,CAL10001,450,2.7498,0.00
A02,Group 1,Unknown,Un001,450,0.0716,0.01
A03,Group 1,Unknown,Un001,450,0.0701,0.02
A04,Group 1,Unknown,Un002,450,1.1356,0.03
A05,Group 1,Unknown,Un002,450,0.9824,0.04
A06,Group 1,Unknown,Un003,450,2.9098,0.05
A07,Group 1,Unknown,Un003,450,2.8925,0.06
A08,Group 1,Unknown,Un004,450,2.5667,0.07
A09,Group 1,Unknown,Un004,450,2.5717,0.08
A10,Group 1,Unknown,Un005,450,1.3070,0.09
A11,Group 1,Unknown,Un005,450,1.2391,0.10
A12,Group 1,Unknown,Un006,450,1.5122,0.11
A13,Group 1,Unknown,Un006,450,1.4943,0.12
A14,Group 1,Unknown,Un007,450,2.9031,0.13
A15,Group 1,Unknown,Un007,450,2.8878,0.14
A16,Group 1,Unknown,Un008,450,2.4874,0.15
A17,Group 1,Unknown,Un008,450,2.4984,0.16
A18,Group 1,Unknown,Un009,450,2.7201,0.17
A19,Group 1,Unknown,Un009,450,2.6997,0.18
A20,Group 1,Unknown,Un010,450,1.5850,0.19
A21,Group 1,Unknown,Un010,450,1.4988,0.20
A22,Group 1,Unknown,Un011,450,2.8719,0.21
A23,Group 1,Unknown,Un011,450,2.8663,0.22
A24,Group 1,Standard,CAL10002,450,2.1683,0.23
B24,Group 1,Unknown,Un100,450,2.7465,0.55
B23,Group 1,Unknown,Un100,450,2.7886,0.56
B22,Group 1,Unknown,Un099,450,0.5798,0.57
B21,Group 1,Unknown,Un099,450,0.5973,0.58
B20,Group 1,Unknown,Un098,450,2.7715,0.59
B19,Group 1,Unknown,Un098,450,2.8173,0.60
B18,Group 1,Unknown,Un097,450,0.5778,0.61
B17,Group 1,Unknown,Un097,450,0.6316,0.62
B16,Group 1,Unknown,Un096,450,2.7952,0.63
B15,Group 1,Unknown,Un096,450,2.7859,0.64
B14,Group 1,Unknown,Un095,450,2.7663,0.65
B13,Group 1,Unknown,Un095,450,2.7777,0.66
B12,Group 1,Unknown,Un094,450,2.6316,0.67
B11,Group 1,Unknown,Un094,450,2.6225,0.68
B10,Group 1,Unknown,Un093,450,2.8110,0.69
B09,Group 1,Unknown,Un093,450,2.7926,0.70
B08,Group 1,Unknown,Un092,450,0.7502,0.71
B07,Group 1,Unknown,Un092,450,0.7705,0.72
B06,Group 1,Unknown,Un091,450,1.0732,0.73
B05,Group 1,Unknown,Un091,450,1.0746,0.74
B04,Group 1,Unknown,Un090,450,0.6094,0.75
B03,Group 1,Unknown,Un090,450,0.5668,0.76
B02,Group 1,Unknown,Un089,450,0.6688,0.77
B01,Group 1,Unknown,Un089,450,0.7577,0.78
C01,Group 1,Standard,CAL20001,450,2.4120,1.11
C02,Group 1,Unknown,Un012,450,2.4898,1.12
C03,Group 1,Unknown,Un012,450,2.4069,1.13
C04,Group 1,Unknown,Un013,450,2.8896,1.14
C05,Group 1,Unknown,Un013,450,2.8309,1.15
C06,Group 1,Unknown,Un014,450,2.8074,1.16
C07,Group 1,Unknown,Un014,450,2.8355,1.17
C08,Group 1,Unknown,Un015,450,1.1902,1.18
C09,Group 1,Unknown,Un015,450,1.1792,1.19
C10,Group 1,Unknown,Un016,450,0.9714,1.20
C11,Group 1,Unknown,Un016,450,0.9443,1.21
C12,Group 1,Unknown,Un017,450,1.2820,1.22
C13,Group 1,Unknown,Un017,450,1.2638,1.23
C14,Group 1,Unknown,Un018,450,0.3731,1.24
C15,Group 1,Unknown,Un018,450,0.3483,1.25
C16,Group 1,Unknown,Un019,450,2.8691,1.26
C17,Group 1,Unknown,Un019,450,2.8643,1.27
C18,Group 1,Unknown,Un020,450,2.8319,1.28
C19,Group 1,Unknown,Un020,450,2.8033,1.29
C20,Group 1,Unknown,Un021,450,0.3476,1.30
C21,Group 1,Unknown,Un021,450,0.3192,1.31
C22,Group 1,Unknown,Un022,450,0.2920,1.32
C23,Group 1,Unknown,Un022,450,0.2959,1.33
C24,Group 1,Standard,CAL20002,450,1.4341,1.34
D24,Group 1,Unknown,Un112,450,2.7418,1.66
D23,Group 1,Unknown,Un112,450,2.7602,1.67
D22,Group 1,Unknown,Un111,450,1.0785,1.68
D21,Group 1,Unknown,Un111,450,1.0968,1.69
D20,Group 1,Unknown,Un110,450,1.1140,1.70
D19,Group 1,Unknown,Un110,450,1.0400,1.71
D18,Group 1,Unknown,Un109,450,0.0760,1.72
D17,Group 1,Unknown,Un109,450,0.0751,1.73
D16,Group 1,Unknown,Un108,450,0.1033,1.74
D15,Group 1,Unknown,Un108,450,0.0956,1.75
D14,Group 1,Unknown,Un107,450,1.1175,1.76
D13,Group 1,Unknown,Un107,450,1.1393,1.77
D12,Group 1,Unknown,Un106,450,2.8430,1.78
D11,Group 1,Unknown,Un106,450,2.8441,1.79
D10,Group 1,Unknown,Un105,450,1.4812,1.80
D09,Group 1,Unknown,Un105,450,1.4935,1.81
D08,Group 1,Unknown,Un104,450,2.4992,1.82
D07,Group 1,Unknown,Un104,450,2.4473,1.83
D06,Group 1,Unknown,Un103,450,2.8057,1.84
D05,Group 1,Unknown,Un103,450,2.8692,1.85
D04,Group 1,Unknown,UN102,450,2.1097,1.86
D03,Group 1,Unknown,UN102,450,2.0917,1.87
