Measurement results,,,,,,
290922 384 plate 2.skax,,,,,,
29-Sep-22 12:27:54 PM,,,,,,
 ,,,,,,
Absorbance 1,,,,,,
Wavelength: 450 nm,,,,,,
 ,,,,,,
Plate 1,,,,,,
 ,,,,,,
Well,Group,Type,Sample,Wavelength [Ex],Abs,Time [s]
A01,Group 1,Standard,CAL10001,450,2.7941,0.00
A02,Group 1,Unknown,Un001,450,2.5082,0.01
A03,Group 1,Unknown,Un001,450,2.5378,0.02
A04,Group 1,Unknown,Un002,450,2.8802,0.03
A05,Group 1,Unknown,Un002,450,2.8844,0.04
A06,Group 1,Unknown,Un003,450,2.8276,0.05
A07,Group 1,Unknown,Un003,450,2.8758,0.06
A08,Group 1,Unknown,Un004,450,2.8838,0.07
A09,Group 1,Unknown,Un004,450,2.8986,0.08
A10,Group 1,Unknown,Un005,450,2.8090,0.09
A11,Group 1,Unknown,Un005,450,2.7179,0.10
A12,Group 1,Unknown,Un006,450,2.4398,0.11
A13,Group 1,Unknown,Un006,450,2.2864,0.12
A14,Group 1,Unknown,Un007,450,2.9535,0.13
A15,Group 1,Unknown,Un007,450,2.9085,0.14
A16,Group 1,Unknown,Un008,450,2.7494,0.15
A17,Group 1,Unknown,Un008,450,2.7447,0.16
A18,Group 1,Unknown,Un009,450,2.8881,0.17
A19,Group 1,Unknown,Un009,450,2.9143,0.18
A20,Group 1,Unknown,Un010,450,2.9171,0.19
A21,Group 1,Unknown,Un010,450,2.8707,0.20
A22,Group 1,Unknown,Un011,450,2.7583,0.21
A23,Group 1,Unknown,Un011,450,2.7044,0.22
A24,Group 1,Standard,CAL10002,450,2.3798,0.23
B24,Group 1,Unknown,Un100,450,2.7874,0.55
B23,Group 1,Unknown,Un100,450,2.8059,0.56
B22,Group 1,Unknown,Un099,450,2.7548,0.57
B21,Group 1,Unknown,Un099,450,2.7385,0.58
B20,Group 1,Unknown,Un098,450,2.2307,0.59
B19,Group 1,Unknown,Un098,450,2.3646,0.60
B18,Group 1,Unknown,Un097,450,2.7872,0.61
B17,Group 1,Unknown,Un097,450,2.7912,0.62
B16,Group 1,Unknown,Un096,450,2.1177,0.63
B15,Group 1,Unknown,Un096,450,2.1998,0.64
B14,Group 1,Unknown,Un095,450,0.0893,0.65
B13,Group 1,Unknown,Un095,450,0.1001,0.66
B12,Group 1,Unknown,Un094,450,1.6433,0.67
B11,Group 1,Unknown,Un094,450,1.6645,0.68
B10,Group 1,Unknown,Un093,450,2.8215,0.69
B09,Group 1,Unknown,Un093,450,2.8380,0.70
B08,Group 1,Unknown,Un092,450,0.9050,0.71
B07,Group 1,Unknown,Un092,450,0.9777,0.72
B06,Group 1,Unknown,Un091,450,0.0665,0.73
B05,Group 1,Unknown,Un091,450,0.0714,0.74
B04,Group 1,Unknown,Un090,450,2.8170,0.75
B03,Group 1,Unknown,Un090,450,2.7901,0.76
B02,Group 1,Unknown,Un089,450,0.3330,0.77
B01,Group 1,Unknown,Un089,450,0.3554,0.78
C01,Group 1,Standard,CAL20001,450,2.5256,1.11
C02,Group 1,Unknown,Un012,450,2.8602,1.12
C03,Group 1,Unknown,Un012,450,2.8616,1.13
C04,Group 1,Unknown,Un013,450,1.2052,1.14
C05,Group 1,Unknown,Un013,450,1.1085,1.15
C06,Group 1,Unknown,Un014,450,2.8434,1.16
C07,Group 1,Unknown,Un014,450,2.8482,1.17
C08,Group 1,Unknown,Un015,450,0.0801,1.18
C09,Group 1,Unknown,Un015,450,0.0800,1.19
C10,Group 1,Unknown,Un016,450,0.1230,1.20
C11,Group 1,Unknown,Un016,450,0.1229,1.21
C12,Group 1,Unknown,Un017,450,1.2259,1.22
C13,Group 1,Unknown,Un017,450,1.0797,1.23
C14,Group 1,Unknown,Un018,450,1.6434,1.24
C15,Group 1,Unknown,Un018,450,1.5453,1.25
C16,Group 1,Unknown,Un019,450,2.8380,1.26
C17,Group 1,Unknown,Un019,450,2.8441,1.27
C18,Group 1,Unknown,Un020,450,2.8085,1.28
C19,Group 1,Unknown,Un020,450,2.7993,1.29
